# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"4","A4","6","cel-miR-39-3p","0.7889042496681213","-0.0018069877379979953","1/100000000","false"
"4","A4","7","cel-miR-39-3p","0.7952446341514587","0.0031746274997026917","1/100000000","false"
"4","A4","8","cel-miR-39-3p","0.7982509732246399","0.004822197327247018","1/100000000","false"
"4","A4","9","cel-miR-39-3p","0.7988354563713074","0.004047911228277783","1/100000000","false"
"4","A4","10","cel-miR-39-3p","0.7992205023765564","0.0030741879878899807","1/100000000","false"
"4","A4","11","cel-miR-39-3p","0.7974376082420349","-6.747539226821856E-5","1/100000000","false"
"4","A4","12","cel-miR-39-3p","0.798370361328125","-4.934915518149568E-4","1/100000000","false"
"4","A4","13","cel-miR-39-3p","0.7995783090591431","-6.443130664336055E-4","1/100000000","false"
"4","A4","14","cel-miR-39-3p","0.8027817606925964","0.0012003693213829376","1/100000000","false"
"4","A4","15","cel-miR-39-3p","0.8033493757247925","4.092151079422674E-4","1/100000000","false"
"4","A4","16","cel-miR-39-3p","0.8024193048477173","-0.001879625014769754","1/100000000","false"
"4","A4","17","cel-miR-39-3p","0.8067495226860046","0.0010918235778808844","1/100000000","false"
"4","A4","18","cel-miR-39-3p","0.8118074536323547","0.004790985278594156","1/100000000","false"
"4","A4","19","cel-miR-39-3p","0.8123567700386047","0.003981532439207441","1/100000000","false"
"4","A4","20","cel-miR-39-3p","0.8105778694152832","8.438625702490816E-4","1/100000000","false"
"4","A4","21","cel-miR-39-3p","0.8091235160827637","-0.001969260007907165","1/100000000","false"
"4","A4","22","cel-miR-39-3p","0.8116178512573242","-8.33694078983444E-4","1/100000000","false"
"4","A4","23","cel-miR-39-3p","0.8120127320289612","-0.0017975825529831962","1/100000000","false"
"4","A4","24","cel-miR-39-3p","0.8112804293632507","-0.0038886544643304717","1/100000000","false"
"4","A4","25","cel-miR-39-3p","0.8147609233856201","-0.0017669296875978018","1/100000000","false"
"4","A4","26","cel-miR-39-3p","0.8180696964263916","1.8307410753685646E-4","1/100000000","false"
"4","A4","27","cel-miR-39-3p","0.818135678768158","-0.0011097127963335012","1/100000000","false"
"4","A4","28","cel-miR-39-3p","0.821050226688385","4.4606587825672347E-4","1/100000000","false"
"4","A4","29","cel-miR-39-3p","0.8271603584289551","0.0051974283731900765","1/100000000","false"
"4","A4","30","cel-miR-39-3p","0.8391091823577881","0.01578748305638637","1/100000000","false"
"4","A4","31","cel-miR-39-3p","0.8614741563796997","0.03679368783266117","1/100000000","false"
"4","A4","32","cel-miR-39-3p","0.9021340608596802","0.07609482306700481","1/100000000","false"
"4","A4","33","cel-miR-39-3p","0.9598114490509033","0.13241344201259123","1/100000000","false"
"4","A4","34","cel-miR-39-3p","1.0332266092300415","0.2044698329460927","1/100000000","false"
"4","A4","35","cel-miR-39-3p","1.1164016723632812","0.28628612683369564","1/100000000","false"
"4","A4","36","cel-miR-39-3p","1.20462167263031","0.37314735785508774","1/100000000","false"
"4","A4","37","cel-miR-39-3p","1.2893034219741821","0.456470337953323","1/100000000","false"
"4","A4","38","cel-miR-39-3p","1.3766381740570068","0.5424463207905109","1/100000000","false"
"4","A4","39","cel-miR-39-3p","1.455740213394165","0.6201895908820323","1/100000000","false"
"4","A4","40","cel-miR-39-3p","1.5247349739074707","0.6878255821497012","1/100000000","false"
"5","A5","1","cel-miR-39-3p","0.761541485786438","-0.013868807218013701","1/100000000","false"
"5","A5","2","cel-miR-39-3p","0.7618125677108765","-0.01494963810994071","1/100000000","false"
"5","A5","3","cel-miR-39-3p","0.7664365768432617","-0.011677541793921054","1/100000000","false"
"5","A5","4","cel-miR-39-3p","0.7750338315963745","-0.0044321998571738574","1/100000000","false"
"5","A5","5","cel-miR-39-3p","0.7804467678070068","-3.711764629070191E-4","1/100000000","false"
"5","A5","6","cel-miR-39-3p","0.7824780941009521","3.082370146726965E-4","1/100000000","false"
"5","A5","7","cel-miR-39-3p","0.7837253212928772","2.035513902321484E-4","1/100000000","false"
"5","A5","8","cel-miR-39-3p","0.787713885307312","0.002840202588301477","1/100000000","false"
"5","A5","9","cel-miR-39-3p","0.7914713621139526","0.005245766578576505","1/100000000","false"
"5","A5","10","cel-miR-39-3p","0.7910206317901611","0.0034431234384194043","1/100000000","false"
"5","A5","11","cel-miR-39-3p","0.7902800440788269","0.0013506229107196899","1/100000000","false"
"5","A5","12","cel-miR-39-3p","0.794075608253479","0.0037942742690061926","1/100000000","false"
"5","A5","13","cel-miR-39-3p","0.7955265641212463","0.0038933173204079297","1/100000000","false"
"5","A5","14","cel-miR-39-3p","0.7964764833450317","0.003491323727827844","1/100000000","false"
"5","A5","15","cel-miR-39-3p","0.7971814870834351","0.0028444146498655676","1/100000000","false"
"5","A5","16","cel-miR-39-3p","0.7974119782447815","0.0017229929948464062","1/100000000","false"
"5","A5","17","cel-miR-39-3p","0.7996349334716797","0.0025940354053791137","1/100000000","false"
"5","A5","18","cel-miR-39-3p","0.7989586591720581","5.658482893919348E-4","1/100000000","false"
"5","A5","19","cel-miR-39-3p","0.7985361218452454","-0.0012086018537864063","1/100000000","false"
"5","A5","20","cel-miR-39-3p","0.7975016236305237","-0.003595012884873572","1/100000000","false"
"5","A5","21","cel-miR-39-3p","0.796984851360321","-0.0054636979714418055","1/100000000","false"
"5","A5","22","cel-miR-39-3p","0.8016793727874756","-0.0021210893606528614","1/100000000","false"
"5","A5","23","cel-miR-39-3p","0.802693784236908","-0.002458590727585974","1/100000000","false"
"5","A5","24","cel-miR-39-3p","0.807481050491333","9.767627104734777E-4","1/100000000","false"
"5","A5","25","cel-miR-39-3p","0.8083860278129578","5.298272157326367E-4","1/100000000","false"
"5","A5","26","cel-miR-39-3p","0.8060969710350037","-0.0031111423785869508","1/100000000","false"
"5","A5","27","cel-miR-39-3p","0.8087379932403564","-0.0018220329895997645","1/100000000","false"
"5","A5","28","cel-miR-39-3p","0.814368724822998","0.00245678577667624","1/100000000","false"
"5","A5","29","cel-miR-39-3p","0.8191825747489929","0.005918722886305627","1/100000000","false"
"5","A5","30","cel-miR-39-3p","0.8339537382125854","0.01933797353353256","1/100000000","false"
"5","A5","31","cel-miR-39-3p","0.8545238375663757","0.038556160070957246","1/100000000","false"
"5","A5","32","cel-miR-39-3p","0.8884022831916809","0.07108269287989694","1/100000000","false"
