# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","X1_M1","X3_M3","X2_M2","X4_M4"
"21","B9","2","3019.4277","-1036.34","141.9592","-235.45575"
"22","B10","2","-8166.4834","-144.04042","21.75005","-321.45282"
"23","B11","2","-5940.871","61.60758","-155.31815","-200.64288"
"24","B12","2","-11267.708","-71.593834","611.9685","-878.0382"
"25","C1","2","160970.14","16776.584","20488.072","197293.5"
"26","C2","2","156664.0","18644.451","17665.043","191305.1"
"27","C3","2","156029.1","20388.83","16244.099","190288.19"
"28","C4","2","149774.77","21034.277","14786.848","181885.64"
"29","C5","2","152667.08","22027.473","13847.541","180094.36"
"30","C6","2","124184.09","18269.531","11400.595","146553.6"
"31","C7","2","-7998.0947","-868.08246","47.470657","376.24573"
"32","C8","2","-7912.7393","-359.00742","-268.4562","31.208199"
"33","C9","2","-6241.842","-212.45311","-252.78348","-382.45197"
"34","C10","2","-7765.5205","-365.66962","-477.82288","-195.83786"
"35","C11","2","-10422.229","-1079.4261","-438.14044","-1182.5834"
"36","C12","2","-8920.192","-605.6093","53.224663","-770.86066"
"37","D1","2","157518.11","17505.18","19580.938","193706.98"
"38","D2","2","153751.2","18504.234","16805.033","184216.64"
"39","D3","2","155996.78","21054.848","15857.918","188666.81"
"40","D4","2","-6297.4517","-605.4775","-144.81032","592.3052"
"41","D5","2","-12605.043","-941.54834","-1080.1395","-837.1061"
"42","D6","2","-6992.5107","-270.14514","-752.8742","-102.304184"
"43","D7","2","-4307.2827","-539.6119","-71.51109","0.9851458"
"44","D8","2","-6583.906","-410.73624","-427.1428","-499.0638"
"45","D9","2","-6760.486","297.44626","-217.8822","-545.48737"
"46","D10","2","-7114.0024","157.5894","35.075974","105.430305"
"47","D11","2","-12264.518","-1238.2263","-283.24646","-575.59985"
"48","D12","2","-9845.67","-178.92873","126.59616","-248.46614"
"49","E1","2","157552.34","16312.767","19405.027","195110.27"
"50","E2","2","162249.5","18653.047","18131.46","197294.06"
"51","E3","2","155621.47","20262.41","15753.377","187416.62"
"52","E4","2","-6703.23","-315.48184","52.630413","426.05942"
"53","E5","2","-4179.001","-252.93694","312.87738","234.51999"
"54","E6","2","-3899.8896","-160.53519","-30.656965","-604.23773"
"55","E7","2","-4848.8506","-110.3261","-381.67383","385.40012"
"56","E8","2","-9864.259","-431.7358","-462.04803","-121.276566"
"57","E9","2","-328.5992","400.65994","2887.9211","2477.564"
"58","E10","2","-6076.4077","-67.56227","69.705956","-65.19025"
"59","E11","2","-9052.826","-362.23294","-558.31525","-388.35324"
"60","E12","2","-12899.827","-988.57715","-73.16421","-682.2779"
"61","F1","2","154780.89","16464.334","20179.857","189711.8"
"62","F2","2","149107.02","17839.37","17238.799","184619.48"
"63","F3","2","154909.73","20125.557","16236.964","187925.62"
"64","F4","2","-10979.28","-64.871506","422.0671","-214.69565"
"65","F5","2","-4080.7925","18.683468","1164.7994","740.8512"
"66","F6","2","-11287.49","-1261.6938","-891.5832","-867.9579"
"67","F7","2","-8522.408","-280.25598","129.16513","-306.09808"
"68","F8","2","-4815.107","-192.60815","866.11053","361.2492"
"69","F9","2","-4843.7354","-111.157036","156.51825","238.40968"
"70","F10","2","-8287.553","-232.08842","431.57687","15.660336"
"71","F11","2","-11277.74","-477.88483","154.78296","-414.55038"
"72","F12","2","-12434.965","-567.84454","247.44278","-557.85675"
"73","G1","2","154471.56","15745.676","21144.088","194523.39"
