# File Name: C:\Users\Valls-testedDX\Desktop\n61_16.11.21_Advance_miRNA_RT-PCR_Neurognos_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 3 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 272323343
# Instrument Serial Number: 272323343
# Heated Cover Serial Number:
# Block Serial Number: 19041571
# Run Start Date/Time: 2021-11-16 10:47:06 AM CLST
# Run End Date/Time: 2021-11-16 11:23:49 AM CLST
# Run Duration: 36 minutes 42 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-11-16 11:39:36 AM CLST
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported On: 2021-12-15 10:48:38 AM CLST
"Well","Well Position","Cycle Number","FAM","ROX"
"5","A5","25","145003.64","179374.25"
"5","A5","26","144815.38","179650.06"
"5","A5","27","145223.1","179567.55"
"5","A5","28","146352.53","179712.86"
"5","A5","29","147180.56","179667.6"
"5","A5","30","149785.77","179609.2"
"5","A5","31","153645.3","179802.23"
"5","A5","32","159730.62","179795.38"
"5","A5","33","169652.02","179867.08"
"5","A5","34","182078.92","179694.23"
"5","A5","35","194669.61","179753.95"
"5","A5","36","207291.06","179900.44"
"5","A5","37","220079.33","179862.12"
"5","A5","38","233440.73","179927.84"
"5","A5","39","245175.0","179884.45"
"5","A5","40","254674.14","180186.89"
"6","A6","1","127454.45","168532.4"
"6","A6","2","127630.0","168658.72"
"6","A6","3","129707.836","170147.38"
"6","A6","4","131164.44","171173.53"
"6","A6","5","132159.7","171971.81"
"6","A6","6","133059.48","172762.47"
"6","A6","7","133589.03","173234.75"
"6","A6","8","134339.77","173499.28"
"6","A6","9","134895.27","173989.08"
"6","A6","10","135990.27","174366.94"
"6","A6","11","136389.69","174540.36"
"6","A6","12","136921.86","174935.94"
"6","A6","13","136936.67","175059.97"
"6","A6","14","136786.0","174932.2"
"6","A6","15","137256.8","175185.23"
"6","A6","16","137686.78","175410.64"
"6","A6","17","138468.97","175508.4"
"6","A6","18","139026.89","175570.19"
"6","A6","19","138952.44","175419.88"
"6","A6","20","139149.62","175281.6"
"6","A6","21","139374.47","175652.22"
"6","A6","22","139407.72","175644.39"
"6","A6","23","139776.34","175479.95"
"6","A6","24","140365.19","175368.83"
"6","A6","25","140414.34","175637.52"
"6","A6","26","140857.14","175577.33"
"6","A6","27","141459.12","175783.08"
"6","A6","28","141557.48","175750.73"
"6","A6","29","142557.64","175950.94"
"6","A6","30","144786.69","176059.94"
"6","A6","31","147901.62","176057.75"
"6","A6","32","153494.25","176328.95"
"6","A6","33","162339.23","176217.52"
"6","A6","34","172840.62","176232.9"
"6","A6","35","183578.56","176425.8"
"6","A6","36","195970.08","176516.58"
"6","A6","37","207540.12","176477.28"
"6","A6","38","219579.5","176287.03"
"6","A6","39","230332.22","176352.52"
"6","A6","40","238614.58","176158.22"
"13","B1","1","150000.98","194960.05"
"13","B1","2","150127.34","195078.08"
"13","B1","3","151686.1","196540.69"
"13","B1","4","153501.88","197631.48"
"13","B1","5","156389.34","197871.67"
"13","B1","6","157907.55","198647.31"
"13","B1","7","160023.11","199166.89"
"13","B1","8","162047.03","199374.66"
"13","B1","9","166037.42","199393.81"
"13","B1","10","171374.84","199990.92"
"13","B1","11","180327.39","200211.1"
"13","B1","12","192140.89","200190.38"
"13","B1","13","206178.84","200401.03"
"13","B1","14","222207.66","200475.45"
"13","B1","15","238350.34","200476.33"
"13","B1","16","254747.58","200634.38"
"13","B1","17","270138.7","200719.48"
